arch	circuit	vpr_revision	vpr_status	min_chan_width	critical_path_delay	lb_area	rt_area	pack_time	place_time	min_chan_width_route_time	crit_path_route_time	routed_wirelength	max_odin_mem	max_abc_mem	max_vpr_mem	num_pre_packed_nets	num_pre_packed_blocks	num_post_packed_nets	num_clb	num_io	num_outputs	num_memories	num_mult	error	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	clma.blif	2d2618e-dirty	success	-1	7.92356	3.3576e+07	6.69016e+06	17.3488	19.2956	7.31009	-1	84498	-1	-1	-1	6320	6402	3850	623	62	82	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s38584.1.blif	2d2618e-dirty	success	-1	4.71343	2.27433e+07	4.64815e+06	10.6051	11.524	3.1486	-1	32370	-1	-1	-1	5357	5661	2678	422	38	304	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	pdc.blif	2d2618e-dirty	success	-1	6.42464	1.95635e+07	4.22650e+06	14.0532	8.24323	4.0358	-1	44284	-1	-1	-1	3645	3685	1850	363	16	40	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s38417.blif	2d2618e-dirty	success	-1	4.83699	1.80006e+07	3.56753e+06	7.16511	7.86038	2.35758	-1	22323	-1	-1	-1	4530	4636	1883	334	29	106	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	frisc.blif	2d2618e-dirty	success	-1	8.69761	1.58448e+07	3.24597e+06	9.18119	8.75813	2.8802	-1	37834	-1	-1	-1	3834	3950	1640	294	20	116	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	spla.blif	2d2618e-dirty	success	-1	5.96026	1.62221e+07	3.56753e+06	11.9282	6.64899	3.20508	-1	33410	-1	-1	-1	3021	3067	1512	301	16	46	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	ex1010.blif	2d2618e-dirty	success	-1	6.2864	1.67071e+07	3.56753e+06	13.9098	6.55296	3.32317	-1	37085	-1	-1	-1	3103	3113	1418	310	10	10	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	elliptic.blif	2d2618e-dirty	success	-1	6.67046	1.15333e+07	2.36645e+06	8.5267	5.48267	2.01521	-1	22217	-1	-1	-1	3386	3500	1258	214	131	114	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s298.blif	2d2618e-dirty	success	-1	7.60814	7.06011e+06	1.61548e+06	3.57253	1.94074	1.05603	-1	8130	-1	-1	-1	1313	1319	576	131	4	6	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	apex2.blif	2d2618e-dirty	success	-1	5.16709	7.97631e+06	1.84355e+06	7.55992	2.79562	1.41799	-1	14129	-1	-1	-1	1516	1519	799	148	38	3	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	diffeq.blif	2d2618e-dirty	success	-1	4.54279	4.68878e+06	1.00652e+06	2.63296	1.61433	0.631479	-1	6531	-1	-1	-1	1309	1348	596	87	64	39	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	seq.blif	2d2618e-dirty	success	-1	4.20351	7.1679e+06	1.61548e+06	4.87316	2.33663	1.19312	-1	12125	-1	-1	-1	1366	1401	718	133	41	35	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	C6288.blif	2d2618e-dirty	success	-1	9.0311	2.96417e+06	705790.	1.19466	0.883853	0.430394	-1	4157	-1	-1	-1	573	605	478	55	32	32	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	tseng.blif	2d2618e-dirty	success	-1	4.59052	4.31152e+06	1.00652e+06	1.98368	1.49377	0.591129	-1	5509	-1	-1	-1	1234	1356	543	80	52	122	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	dsip.blif	2d2618e-dirty	success	-1	2.40102	3.66479e+06	1.61548e+06	2.3823	2.36499	0.978045	-1	6506	-1	-1	-1	1133	1330	575	68	229	197	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	bigkey.blif	2d2618e-dirty	success	-1	2.42526	3.71869e+06	1.61548e+06	3.02965	2.21451	0.92424	-1	6181	-1	-1	-1	1136	1333	497	69	229	197	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	alu4.blif	2d2618e-dirty	success	-1	4.27299	6.35949e+06	1.41860e+06	3.03891	1.72019	0.908114	-1	6035	-1	-1	-1	1187	1195	513	118	14	8	0	0		
