arch	circuit	vpr_revision	vpr_status	min_chan_width	critical_path_delay	lb_area	rt_area	pack_time	place_time	min_chan_width_route_time	crit_path_route_time	routed_wirelength	max_odin_mem	max_abc_mem	max_vpr_mem	num_pre_packed_nets	num_pre_packed_blocks	num_post_packed_nets	num_clb	num_io	num_outputs	num_memories	num_mult	error	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	clma.blif	2d2618e-dirty	success	-1	8.89329	3.3576e+07	6.97209e+06	17.2425	18.9853	6.01297	-1	85139	-1	-1	-1	6320	6402	3850	623	62	82	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s38584.1.blif	2d2618e-dirty	success	-1	5.13894	2.27433e+07	4.84911e+06	10.3837	10.7661	2.81689	-1	34556	-1	-1	-1	5357	5661	2678	422	38	304	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	pdc.blif	2d2618e-dirty	success	-1	6.77218	1.95635e+07	4.41172e+06	13.95	8.15248	3.50671	-1	44386	-1	-1	-1	3645	3685	1850	363	16	40	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s38417.blif	2d2618e-dirty	success	-1	5.34156	1.80006e+07	3.72497e+06	7.02446	7.82029	2.09948	-1	24012	-1	-1	-1	4530	4636	1883	334	29	106	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	frisc.blif	2d2618e-dirty	success	-1	9.26837	1.58448e+07	3.39096e+06	9.18752	7.84075	2.44722	-1	38512	-1	-1	-1	3834	3950	1640	294	20	116	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	spla.blif	2d2618e-dirty	success	-1	6.22763	1.62221e+07	3.72497e+06	12.3139	6.25981	2.73836	-1	34251	-1	-1	-1	3021	3067	1512	301	16	46	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	ex1010.blif	2d2618e-dirty	success	-1	6.58253	1.67071e+07	3.72497e+06	13.4481	6.17359	3.00682	-1	37690	-1	-1	-1	3103	3113	1418	310	10	10	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	elliptic.blif	2d2618e-dirty	success	-1	7.18134	1.15333e+07	2.47513e+06	8.70801	5.28734	1.66041	-1	23033	-1	-1	-1	3386	3500	1258	214	131	114	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s298.blif	2d2618e-dirty	success	-1	8.4421	7.06011e+06	1.69441e+06	3.78472	1.74617	0.919607	-1	8501	-1	-1	-1	1313	1319	576	131	4	6	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	apex2.blif	2d2618e-dirty	success	-1	5.21367	7.97631e+06	1.93139e+06	7.20391	2.69519	1.37836	-1	15057	-1	-1	-1	1516	1519	799	148	38	3	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	diffeq.blif	2d2618e-dirty	success	-1	4.89205	4.68878e+06	1.05920e+06	2.62056	1.58206	0.614676	-1	6980	-1	-1	-1	1309	1348	596	87	64	39	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	seq.blif	2d2618e-dirty	success	-1	4.45238	7.1679e+06	1.69441e+06	4.95727	2.43461	1.07965	-1	13049	-1	-1	-1	1366	1401	718	133	41	35	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	C6288.blif	2d2618e-dirty	success	-1	9.26101	2.96417e+06	744092.	1.22351	0.862864	0.416942	-1	4489	-1	-1	-1	573	605	478	55	32	32	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	tseng.blif	2d2618e-dirty	success	-1	4.71922	4.31152e+06	1.05920e+06	2.16118	1.47758	0.552542	-1	5942	-1	-1	-1	1234	1356	543	80	52	122	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	dsip.blif	2d2618e-dirty	success	-1	2.4749	3.66479e+06	1.69441e+06	2.40497	2.19508	0.857804	-1	7269	-1	-1	-1	1133	1330	575	68	229	197	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	bigkey.blif	2d2618e-dirty	success	-1	2.45269	3.71869e+06	1.69441e+06	2.80695	2.13867	0.873328	-1	6598	-1	-1	-1	1136	1333	497	69	229	197	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	alu4.blif	2d2618e-dirty	success	-1	4.50062	6.35949e+06	1.48767e+06	2.73321	1.5783	0.778005	-1	6777	-1	-1	-1	1187	1195	513	118	14	8	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	i10.blif	2d2618e-dirty	success	-1	6.00179	3.98816e+06	2.20422e+06	1.79993	2.98494	1.14928	-1	11208	-1	-1	-1	996	1220	785	74	257	224	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	ex5p.blif	2d2618e-dirty	success	-1	4.17623	3.98816e+06	1.05920e+06	1.89404	1.21163	0.599313	-1	7288	-1	-1	-1	748	811	460	74	8	63	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	des.blif	2d2618e-dirty	success	-1	2.87659	3.01806e+06	2.20422e+06	1.79505	2.35573	1.05665	-1	7736	-1	-1	-1	810	1055	571	56	256	245	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	apex4.blif	2d2618e-dirty	success	-1	4.96605	5.22772e+06	1.27993e+06	2.7914	1.54847	0.766522	-1	10534	-1	-1	-1	979	998	582	97	9	19	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	C7552.blif	2d2618e-dirty	success	-1	5.4539	2.6947e+06	882431.	1.05167	1.463	0.481004	-1	5878	-1	-1	-1	706	813	517	50	206	107	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	misex3.blif	2d2618e-dirty	success	-1	4.41433	6.2517e+06	1.48767e+06	3.77663	1.72085	0.838897	-1	8726	-1	-1	-1	1172	1186	602	116	14	14	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	parker1986.blif	2d2618e-dirty	success	-1	6.11766	2.96417e+06	744092.	1.69827	1.10056	0.447301	-1	5414	-1	-1	-1	753	762	428	55	50	9	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	C5315.blif	2d2618e-dirty	success	-1	4.33372	2.15576e+06	882431.	0.901449	1.41504	0.476566	-1	5620	-1	-1	-1	577	700	463	40	178	123	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	apex3.blif	2d2618e-dirty	success	-1	4.58243	3.93426e+06	1.05920e+06	3.00589	1.3739	0.640048	-1	7439	-1	-1	-1	783	833	476	73	54	50	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s5378.blif	2d2618e-dirty	success	-1	3.38985	2.37134e+06	598825.	0.937045	0.717619	0.298468	-1	3610	-1	-1	-1	615	664	339	44	36	49	0	0		
