arch	circuit	vpr_revision	vpr_status	min_chan_width	critical_path_delay	lb_area	rt_area	pack_time	place_time	min_chan_width_route_time	crit_path_route_time	routed_wirelength	max_odin_mem	max_abc_mem	max_vpr_mem	num_pre_packed_nets	num_pre_packed_blocks	num_post_packed_nets	num_clb	num_io	num_outputs	num_memories	num_mult	error	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	clma.blif	2d2618e-dirty	success	-1	7.82506	3.3576e+07	6.61300e+06	17.2801	18.6072	7.23418	-1	83420	-1	-1	-1	6320	6402	3850	623	62	82	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s38584.1.blif	2d2618e-dirty	success	-1	4.71573	2.27433e+07	4.59475e+06	10.3827	11.7322	3.23195	-1	31390	-1	-1	-1	5357	5661	2678	422	38	304	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	pdc.blif	2d2618e-dirty	success	-1	6.2068	1.95635e+07	4.17493e+06	14.1668	8.14228	4.07133	-1	43037	-1	-1	-1	3645	3685	1850	363	16	40	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s38417.blif	2d2618e-dirty	success	-1	4.89449	1.80006e+07	3.52424e+06	7.06744	7.98665	2.28312	-1	20844	-1	-1	-1	4530	4636	1883	334	29	106	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	frisc.blif	2d2618e-dirty	success	-1	8.38498	1.58448e+07	3.20665e+06	9.03158	8.181	2.82684	-1	37275	-1	-1	-1	3834	3950	1640	294	20	116	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	spla.blif	2d2618e-dirty	success	-1	5.74717	1.62221e+07	3.52424e+06	11.5044	6.18463	3.25702	-1	33563	-1	-1	-1	3021	3067	1512	301	16	46	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	ex1010.blif	2d2618e-dirty	success	-1	6.43408	1.67071e+07	3.52424e+06	13.3769	5.99848	3.4049	-1	36218	-1	-1	-1	3103	3113	1418	310	10	10	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	elliptic.blif	2d2618e-dirty	success	-1	6.49872	1.15333e+07	2.33612e+06	8.57529	5.20042	1.92678	-1	20994	-1	-1	-1	3386	3500	1258	214	131	114	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	s298.blif	2d2618e-dirty	success	-1	7.39186	7.06011e+06	1.59323e+06	3.56252	1.83474	1.04641	-1	7777	-1	-1	-1	1313	1319	576	131	4	6	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	apex2.blif	2d2618e-dirty	success	-1	5.18588	7.97631e+06	1.81874e+06	7.31172	2.56804	1.43315	-1	13592	-1	-1	-1	1516	1519	799	148	38	3	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	diffeq.blif	2d2618e-dirty	success	-1	4.62552	4.68878e+06	990859.	2.57315	1.63655	0.683977	-1	6350	-1	-1	-1	1309	1348	596	87	64	39	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	seq.blif	2d2618e-dirty	success	-1	4.19388	7.1679e+06	1.59323e+06	4.96703	2.30315	1.17747	-1	11785	-1	-1	-1	1366	1401	718	133	41	35	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	C6288.blif	2d2618e-dirty	success	-1	8.98406	2.96417e+06	694746.	1.19749	0.87436	0.427742	-1	3700	-1	-1	-1	573	605	478	55	32	32	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	tseng.blif	2d2618e-dirty	success	-1	4.34125	4.31152e+06	990859.	1.98746	1.53151	0.629498	-1	5052	-1	-1	-1	1234	1356	543	80	52	122	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	dsip.blif	2d2618e-dirty	success	-1	2.44333	3.66479e+06	1.59323e+06	2.5037	2.3346	0.885463	-1	6413	-1	-1	-1	1133	1330	575	68	229	197	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	bigkey.blif	2d2618e-dirty	success	-1	2.36004	3.71869e+06	1.59323e+06	2.86071	2.20139	0.898111	-1	6076	-1	-1	-1	1136	1333	497	69	229	197	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	alu4.blif	2d2618e-dirty	success	-1	4.39363	6.35949e+06	1.39944e+06	2.67123	1.58621	0.897893	-1	6053	-1	-1	-1	1187	1195	513	118	14	8	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	i10.blif	2d2618e-dirty	success	-1	5.82732	3.98816e+06	2.07863e+06	1.82266	3.03838	1.28013	-1	10554	-1	-1	-1	996	1220	785	74	257	224	0	0		
