arch	circuit	vpr_revision	vpr_status	min_chan_width	critical_path_delay	pack_time	place_time	min_chan_width_route_time	crit_path_route_time	routed_wirelength	max_odin_mem	max_abc_mem	max_vpr_mem	num_pre_packed_nets	num_pre_packed_blocks	num_post_packed_nets	num_clb	num_io	num_outputs	num_memories	num_mult	error	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	z4ml.blif	aa4e83f-dirty	exited	22	-1	0.0303829	0.014717	0.05018	0.007846	56	-1	-1	-1	13	17	11	1	7	4	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	xor5.blif	aa4e83f-dirty	success	14	1.27642	0.0216111	0.011373	0.041799	0.00556	6	-1	-1	-1	6	7	6	1	5	1	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	x4.blif	aa4e83f-dirty	success	38	2.3461	0.251875	0.470806	0.908202	0.110038	1512	-1	-1	-1	211	282	173	12	94	71	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	x3.blif	aa4e83f-dirty	success	40	2.46695	0.571387	0.791925	1.62203	0.165233	2704	-1	-1	-1	358	457	263	23	135	99	0	0		
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	x2.blif	aa4e83f-dirty	-1	20	1.60978	0.0470612	0.040489	0.107162	0.035735	103	-1	-1	-1	24	31	17	2	10	7	0	0	-1	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	x1.blif	unknown	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	vg2.blif	unknown	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	vda.blif	unknown	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	unreg.blif	unknown	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
k6_N10_I40_Fi6_L4_frac0_ff1_22nm_2D.xml	ttt2.blif	unknown	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
